1;Jakab;Gipsz;jakab.gipsz@gmail.com;1112, Budapest Gipsz utca 1;+36 11 111-1111;false
3;Virág;Karcsú;virag.karcsu@gmail.com;3333, Budapest Karcsú utca 3;+36 33 333-3333;false
4;Andrea;Gipsz;andrea.gipsz@gmail.com;4444, Budapest Gipsz utca 4;+36 44 444-4444;false
5;Tesri;Gipsz2;jakab.gipsz@gmail.com;5555, Budapest Gipsz utca 5;+36 55 555-5555;false
7;Tesri;Gipsz1;teri.gipsz@gmail.com;1116, Budapest Gipsz utca 6;+36 66 666-6666;false
8;Jakab50;Gipsz;jakab.gipsz@gmail.com;1112, Budapest Gipsz utca 50;+36 11 111-1111;false
9;Jakab;Gipsz20;jakab.gipsz@gmail.com;1112, Budapest Gipsz utca 20;+36 11 111-1111;false
10;Jakab;Gipsz20;jakab.gipsz@gmail.com;1112, Budapest Gipsz utca 20;+36 11 111-1111;false
11;Jakab;Gipsz;jakab.gipsz@gmail.com;1112, Budapest Gipsz utca 1;+36 11 111-1111;false
12;Virág;Karcsú;virag.karcsu@gmail.com;3333, Budapest Karcsú utca 3;+36 33 333-3333;false
13;Andrea;Gipsz;andrea.gipsz@gmail.com;4444, Budapest Gipsz utca 4;+36 44 444-4444;false
14;Tesri;Gipsz2;jakab.gipsz@gmail.com;5555, Budapest Gipsz utca 5;+36 55 555-5555;false
15;Tesri;Gipsz1;teri.gipsz@gmail.com;1116, Budapest Gipsz utca 6;+36 66 666-6666;false
16;Jakab50;Gipsz;jakab.gipsz@gmail.com;1112, Budapest Gipsz utca 50;+36 11 111-1111;false
17;Jakab;Gipsz20;jakab.gipsz@gmail.com;1112, Budapest Gipsz utca 20;+36 11 111-1111;false
18;Jakab;Gipsz20;jakab.gipsz@gmail.com;1112, Budapest Gipsz utca 20;+36 11 111-1111;false
